keyword,product_id,product_name,url,currency,original_price_min,original_price_max,final_price_min,final_price_max,discount_percent,category_1,category_2,category_3,rating,review_count,sold,star_1,star_2,star_3,star_4,star_5,seller_id,seller_name,seller_rating,seller_followers,seller_product,seller_response_rate,seller_response_time,seller_joined,price_avg,price_range,seller_age
smartwatch,25735639729,[PROMO SPECIAL] ADVAN Smartwatch S1| IPS 2.01” Curve Display | Ai Voice | Bluetooth Calls | Bluetooth 5.3 | 100+ Sports Modes | Long-lasting Battery,https://shopee.co.id/-PROMO-SPECIAL-ADVAN-Smartwatch-S1-IPS-2.01%E2%80%9D-Curve-Display-Ai-Voice-Bluetooth-Calls-Bluetooth-5.3-100-Sports-Modes-Long-lasting-Battery-i.919692407.25735639729?extraParams=%7B%22display_model_id%22%3A237817216624%2C%22model_selection_logic%22%3A3%7D&sp_atk=14acd524-c684-43f7-b9d9-3cd765b197c9&xptdk=14acd524-c684-43f7-b9d9-3cd765b197c9,IDR,699000.0,699000.0,229000.0,699000.0,67,Mobile & Accessories,Wearable Devices,Smartwatches & Fitness Trackers,4.9,28600.0,10000.0,76.0,42.0,195.0,1800.0,26500.0,919692407,Advan Notebook Official Store,278700.0,377600.0,123.0,100.0,1,4 years ago,464000.0,470000.0,4
smartwatch,42862296333,Aolon GTR 2026 Jam Tangan Smartwatch 46mm Strava Layar HD Pemantauan Kesehatan Olahraga 120+ Bluetooth Call Real IP67 Tahan Air,https://shopee.co.id/Aolon-GTR-2026-Jam-Tangan-Smartwatch-46mm-Strava-Layar-HD-Pemantauan-Kesehatan-Olahraga-120-Bluetooth-Call-Real-IP67-Tahan-Air-i.280628135.42862296333?extraParams=%7B%22display_model_id%22%3A306028467882%2C%22model_selection_logic%22%3A3%7D&sp_atk=56a5b9f2-af8a-492b-99b9-55af2d975300&xptdk=56a5b9f2-af8a-492b-99b9-55af2d975300,IDR,275080.0,275080.0,275080.0,275080.0,0,Mobile & Accessories,Wearable Devices,Smartwatches & Fitness Trackers,4.9,874.0,1000.0,7.0,2.0,10.0,61.0,794.0,280628135,Aolon Indonesia Official Shop,331400.0,259800.0,99.0,98.0,2,6 years ago,275080.0,0.0,6
smartwatch,50600639594,[Baru] Meizu Smartwatch Watch S10 PRO MAX Original with 1.81 Inci AMOLED Display GPS NFC Waterproof PhoneBluetoothCall Smartwatch wanita Pintar Wanita Tahan Air Jam Tangan Pintar IP68  Ganti Wallpapper Monitor Monitor Detak Jantung Android IOS,https://shopee.co.id/-Baru-Meizu-Smartwatch-Watch-S10-PRO-MAX-Original-with-1.81-Inci-AMOLED-Display-GPS-NFC-Waterproof-PhoneBluetoothCall-Smartwatch-wanita-Pintar-Wanita-Tahan-Air-Jam-Tangan-Pintar-IP68-Ganti-Wallpapper-Monitor-Monitor-Detak-Jantung-Android-IOS-i.1480145035.50600639594?extraParams=%7B%22display_model_id%22%3A360057522931%2C%22model_selection_logic%22%3A3%7D&sp_atk=292d81ac-cb03-4fdf-9b8a-3cf85e31c4b3&xptdk=292d81ac-cb03-4fdf-9b8a-3cf85e31c4b3,IDR,1200000.0,1200000.0,151000.0,151000.0,87,Mobile & Accessories,Wearable Devices,Smartwatches & Fitness Trackers,4.7,339.0,888.0,14.0,4.0,10.0,22.0,289.0,1480145035,Meizu Official Store,21400.0,3500.0,17.0,100.0,1,16 months ago,151000.0,0.0,16
smartwatch,26280246573,[NEW] Huafit Metro 2 Smartwatch Pace Mode Olahraga Sleep Analysis Detak Jantung Telepon Bluetooth Notifikasi Pesan Tahan Air IP68 Calculator Smart Watch Pria Wanita,https://shopee.co.id/-NEW-Huafit-Metro-2-Smartwatch-Pace-Mode-Olahraga-Sleep-Analysis-Detak-Jantung-Telepon-Bluetooth-Notifikasi-Pesan-Tahan-Air-IP68-Calculator-Smart-Watch-Pria-Wanita-i.980050544.26280246573?extraParams=%7B%22display_model_id%22%3A233971000703%2C%22model_selection_logic%22%3A3%7D&sp_atk=a668d785-1a5a-4f26-9db8-dd2e525fbb81&xptdk=a668d785-1a5a-4f26-9db8-dd2e525fbb81,IDR,146280.0,146280.0,146280.0,146280.0,0,Mobile & Accessories,Wearable Devices,Smartwatches & Fitness Trackers,4.9,1600.0,3000.0,10.0,3.0,25.0,118.0,1500.0,980050544,Huafit Indonesia Official Shop,45600.0,36800.0,39.0,100.0,2,3 years ago,146280.0,0.0,3
smartwatch,42073061916,Xiaomi Smart Band 9 Active | Refresh rate 60 Hz | Tahan Air Hingga 50 Meter | 50+ Mode Olahraga | Baterai Hingga 18 Hari [Official Store],https://shopee.co.id/Xiaomi-Smart-Band-9-Active-Refresh-rate-60-Hz-Tahan-Air-Hingga-50-Meter-50-Mode-Olahraga-Baterai-Hingga-18-Hari-Official-Store--i.1632696269.42073061916?extraParams=%7B%22display_model_id%22%3A286874686403%2C%22model_selection_logic%22%3A3%7D&sp_atk=bdeeaff3-4fa7-45da-93cc-a52117c41112&xptdk=bdeeaff3-4fa7-45da-93cc-a52117c41112,IDR,499000.0,499000.0,428000.0,428000.0,14,Mobile & Accessories,Wearable Devices,Smartwatches & Fitness Trackers,4.9,2700.0,7000.0,2.0,2.0,6.0,126.0,2600.0,1632696269,Xiaomi Smart Home Official Store,71900.0,74100.0,319.0,95.0,2,10 months ago,428000.0,0.0,10
smartwatch,26694756359,[Garansi 1 Tahun] KIRO NFC GT4 Pro Smart Watch for Men |2.08” OLED Display Healthy Jam Tangan Pintar Upgrade Chip 5.0| 720 hours battery life | Bluetooth 6.0 |150+ Sports Modes,https://shopee.co.id/-Garansi-1-Tahun-KIRO-NFC-GT4-Pro-Smart-Watch-for-Men-2.08%E2%80%9D-OLED-Display-Healthy-Jam-Tangan-Pintar-Upgrade-Chip-5.0-720-hours-battery-life-Bluetooth-6.0-150-Sports-Modes-i.1544015030.26694756359?extraParams=%7B%22display_model_id%22%3A411094214707%2C%22model_selection_logic%22%3A3%7D&sp_atk=b2914a02-02d6-4154-96e7-f23d02f851d4&xptdk=b2914a02-02d6-4154-96e7-f23d02f851d4,IDR,599000.0,599000.0,339000.0,339000.0,43,Mobile & Accessories,Wearable Devices,Smartwatches & Fitness Trackers,4.9,61.0,152.0,0.0,0.0,0.0,4.0,57.0,1544015030,I-KOOKOO Technologies Official Store,8200.0,11000.0,67.0,96.0,2,14 months ago,339000.0,0.0,14
smartwatch,57006357915,"Minoox Smartwatch Serie S11 Smart Watch S11 Jam Pintar Olahraga Bluetooth 2.1""HD AMOLED Display GPS NFC Waterproof Bluetooth Call Smartwatch wanita pria wireless charging Dan Ganti Wallpapper Jam Tangan Smartwatch Jam Tangan Wanita",https://shopee.co.id/Minoox-Smartwatch-Serie-S11-Smart-Watch-S11-Jam-Pintar-Olahraga-Bluetooth-2.1-HD-AMOLED-Display-GPS-NFC-Waterproof-Bluetooth-Call-Smartwatch-wanita-pria-wireless-charging-Dan-Ganti-Wallpapper-Jam-Tangan-Smartwatch-Jam-Tangan-Wanita-i.1694980771.57006357915?extraParams=%7B%22display_model_id%22%3A310903042958%2C%22model_selection_logic%22%3A3%7D&sp_atk=42c375d2-3162-4ec0-94b9-54ab4ddb2be7&xptdk=42c375d2-3162-4ec0-94b9-54ab4ddb2be7,IDR,599999.0,599999.0,136999.0,136999.0,77,Mobile & Accessories,Wearable Devices,Smartwatches & Fitness Trackers,4.8,1000.0,2000.0,13.0,10.0,29.0,110.0,875.0,1694980771,Minoox Official Store,1200.0,419.0,16.0,98.0,1,7 months ago,136999.0,0.0,7
smartwatch,24846966600,Fitfly Watch Ultra 20 Jam Tangan Pria Wanita SmartWatch Fashion Sport 49mm Titanium & Heartrate Original 100% Bergaransi 1Tahun,https://shopee.co.id/Fitfly-Watch-Ultra-20-Jam-Tangan-Pria-Wanita-SmartWatch-Fashion-Sport-49mm-Titanium-Heartrate-Original-100-Bergaransi-1Tahun-i.1545265830.24846966600?extraParams=%7B%22display_model_id%22%3A266558736480%2C%22model_selection_logic%22%3A3%7D&sp_atk=b18dc997-8f60-4e31-adcf-e83db626f54f&xptdk=b18dc997-8f60-4e31-adcf-e83db626f54f,IDR,399000.0,399000.0,101346.0,101346.0,75,Mobile & Accessories,Wearable Devices,Smartwatches & Fitness Trackers,4.8,323.0,600.0,9.0,2.0,4.0,22.0,286.0,1545265830,Fitfly Official Store,2400.0,5200.0,47.0,84.0,2,14 months ago,101346.0,0.0,14
smartwatch,57062132465,[BISA BALAS WA] ADVAN Smartwatch SR V2 | AI Voice Assistant | Wireless Bluetooth Call | IP68 Waterproof | Ultra Thin Body | Mens Monitoring Support Strava & Google Fit One Click Health | Garansi Resmi 1 Tahun,https://shopee.co.id/-BISA-BALAS-WA-ADVAN-Smartwatch-SR-V2-AI-Voice-Assistant-Wireless-Bluetooth-Call-IP68-Waterproof-Ultra-Thin-Body-Mens-Monitoring-Support-Strava-Google-Fit-One-Click-Health-Garansi-Resmi-1-Tahun-i.919692407.57062132465?extraParams=%7B%22display_model_id%22%3A297694178241%2C%22model_selection_logic%22%3A3%7D&sp_atk=df8748a0-f58a-46e1-a55f-b4d8b52d50d6&xptdk=df8748a0-f58a-46e1-a55f-b4d8b52d50d6,IDR,549000.0,549000.0,299000.0,299000.0,46,Mobile & Accessories,Wearable Devices,Smartwatches & Fitness Trackers,5.0,27.0,109.0,0.0,0.0,0.0,1.0,26.0,919692407,Advan Notebook Official Store,278700.0,377600.0,123.0,100.0,1,4 years ago,299000.0,0.0,4
smartwatch,22485053684,[New Arrival] Black Shark Watch S3 | Smartwatch AMOLED 1.43” | GNSS GPS | Tahan Air 5 ATM | Bluetooth Call | Battery Tahan Lama,https://shopee.co.id/-New-Arrival-Black-Shark-Watch-S3-Smartwatch-AMOLED-1.43%E2%80%9D-GNSS-GPS-Tahan-Air-5-ATM-Bluetooth-Call-Battery-Tahan-Lama-i.168862677.22485053684?extraParams=%7B%22display_model_id%22%3A325621963031%2C%22model_selection_logic%22%3A3%7D&sp_atk=78b08f0d-ab00-4c07-9400-3a7af2ecdeb8&xptdk=78b08f0d-ab00-4c07-9400-3a7af2ecdeb8,IDR,1499000.0,1499000.0,801442.0,801442.0,47,Mobile & Accessories,Wearable Devices,Smartwatches & Fitness Trackers,4.8,977.0,1000.0,22.0,9.0,10.0,60.0,876.0,168862677,Black Shark Official Shop,30700.0,61200.0,35.0,100.0,1,7 years ago,801442.0,0.0,7
